ags,quelle,datenstand,last_update,neuinfizierte_7,neuinfizierte_7_ht,neuinfizierte_7_vglvw_rel,neuinfizierte_7_ht_vglvw_abs,faelle_covid_aktuell,intensiv_betten_gesamt,faelle_covid_aktuell_beatmet,covid_to_intensiv_betten_percent,betten_frei_to_betten_gesamt_percent,ags_parent,hospitalisierte_7_ht_parent,hospitalisierte_7_ht,hospitalisierte_7_ht_nowcasting,hospitalisierte_7_ht_nowcasting_vglvw_rm,vollstaendig_rel,erstimpfung_rel,drittimpfung_rel,viertimpfung_rel,drittimpfung_1,drittimpfung_7,drittimpfung_7_vglvw_rel,drittimpfung_7_ds,erstimpfung_1,erstimpfung_7,erstimpfung_7_vglvw_rel,erstimpfung_7_ds,viertimpfung_1,viertimpfung_7,viertimpfung_7_vglvw_rel,viertimpfung_7_ds,vollstaendig_1,vollstaendig_7,vollstaendig_7_vglvw_rel,vollstaendig_7_ds,nicename,chart_id
07315,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,1176,541.2,0.65,-290.6,6,104,5,5.8,1,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Mainz,6Iprc
07316,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,301,562.8,0.53,-512.1,1,17,0,5.9,5.9,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Neustadt an der Weinstraße,3ds9Z
07317,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,222,550.1,1.18,84.6,2,16,0,12.5,43.8,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Pirmasens,OQiHi
07318,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,251,492.7,0.64,-281.8,2,25,1,8,0,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Speyer,9rqRt
07319,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,542,649.4,0.72,-258.8,2,50,1,4,6,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Worms,z13fy
07320,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,229,670.6,0.84,-132.3,2,10,1,20,60,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Zweibrücken,VEuBy
07331,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,963,736.7,0.85,-128.5,0,6,0,0,33.3,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Alzey-Worms,0xGua
07332,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,843,633.1,0.8,-157.9,2,14,0,14.3,50,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Bad Dürkheim,N2QwX
07333,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,483,638.1,0.83,-133.7,0,12,0,0,41.7,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Donnersbergkreis,wvgcn
07334,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,710,549.6,0.72,-211.6,1,22,0,4.5,13.6,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Germersheim,eBata
07335,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,1026,964.1,0.88,-130.7,0,10,0,0,60,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Kaiserslautern,wXy5H
07336,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,435,619.1,0.74,-222.5,0,16,0,0,6.2,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Kusel,ECkM7
07337,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,514,463.1,0.57,-350.2,0,12,0,0,16.7,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Südliche Weinstraße,6Qzsi
07338,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,581,374.8,0.73,-136.3,,,,,,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Rhein-Pfalz-Kreis,ns3rk
07339,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,1210,571.6,0.59,-399.4,0,10,0,0,10,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Mainz-Bingen,esWpL
07340,lua_rp,2022/08/01 12:10:00,2022/08/01 19:11:13,629,662.7,0.84,-125.4,0,7,0,0,85.7,07,5.95,,,,,,,,,,,,,,,,,,,,,,,,Südwestpfalz,Me2ql
08,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,64467,580.6,0.7,-244.2,144,2534,38,5.7,16.9,00,6.69,4.92,8,0.871,74.4,75.7,60.7,5.4,125,4778,0.996,683,78,1409,1.142,201,503,25904,1.047,3701,84,1583,1.003,226,Baden-Württemberg,
08111,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,2485,394.3,0.62,-238.7,14,256,4,5.5,21.5,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Stuttgart,8Garp
08115,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,2351,598.4,0.65,-325.5,2,46,0,4.3,0,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Böblingen,ouq9v
08116,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,3576,670.1,0.76,-206.9,5,85,1,5.9,21.2,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Esslingen,ZqecA
08117,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1283,495.8,0.75,-165,3,36,3,8.3,27.8,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Göppingen,JwLYt
08118,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1745,320.2,0.45,-396.5,10,66,3,15.2,3,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Ludwigsburg,S5kxY
08119,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,3259,762.7,0.83,-155,0,62,0,0,24.2,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Rems-Murr-Kreis,n9CMT
08121,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,623,492.7,0.62,-308.4,1,54,0,1.9,31.5,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Heilbronn (Stadt),C0dzk
08125,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,2666,769.7,0.76,-241.7,5,44,1,11.4,2.3,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Heilbronn,xljaD
08126,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,811,719.2,0.57,-543.6,1,7,0,14.3,28.6,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Hohenlohekreis,gJDva
08127,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1289,651.5,0.77,-196.1,4,50,0,8,12,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Schwäbisch Hall,HBbRp
08128,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,881,664,0.8,-168.8,4,52,0,7.7,38.5,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Main-Tauber-Kreis,1tgi4
08135,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,653,491.7,0.62,-299.6,3,20,1,15,35,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Heidenheim,Pjurh
08136,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,2059,655.1,0.55,-533,5,66,1,7.6,18.2,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Ostalbkreis,iTJPm
08211,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,316,569.9,0.59,-395,1,18,0,5.6,27.8,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Baden-Baden,66FWw
08212,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,2188,709.4,0.86,-115.1,7,105,1,6.7,16.2,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Karlsruhe (Stadt),rMKdB
08215,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,3461,774.5,0.78,-216.9,2,44,0,4.5,11.4,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Karlsruhe,mRYg8
08216,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1700,732.5,0.65,-387.8,0,9,0,0,0,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Rastatt,imzqc
08221,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,802,505.2,0.67,-244.4,11,220,7,5,8.6,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Heidelberg,25cgl
08222,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,2096,676.7,1.34,173.3,6,102,3,5.9,14.7,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Mannheim,hgJCg
08225,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1058,735.8,0.56,-575.1,0,21,0,0,4.8,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Neckar-Odenwald-Kreis,Bhln9
08226,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,3185,581,0.72,-229.4,2,40,1,5,15,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Rhein-Neckar-Kreis,z1x1b
08231,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,532,422.2,0.54,-360.2,0,46,0,0,4.3,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Pforzheim,Lu21Q
08235,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,974,608.2,1.44,185.5,2,16,0,12.5,12.5,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Calw,OnrKY
08236,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1257,629.3,0.65,-340.9,0,10,0,0,0,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Enzkreis,OM5QN
08237,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,706,596.5,0.69,-263.6,1,12,1,8.3,25,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Freudenstadt,ZKw77
08311,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1215,526.1,0.68,-243.4,3,202,1,1.5,21.8,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Freiburg im Breisgau,MgBt8
08315,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1372,518,0.69,-228,2,29,0,6.9,0,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Breisgau-Hochschwarzwald,Fu6wc
08316,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1157,693.4,0.72,-270.3,1,94,0,1.1,2.1,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Emmendingen,ZZ4JZ
08317,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,2323,537,0.75,-178.5,4,87,2,4.6,23,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Ortenaukreis,sEsci
08325,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,635,453,0.69,-202.7,2,10,1,20,0,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Rottweil,Hbqgn
08326,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1048,492.3,0.72,-190.7,6,53,1,11.3,20.8,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Schwarzwald-Baar-Kreis,FsuDj
08327,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,806,568.9,0.63,-327.5,0,10,0,0,0,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Tuttlingen,t7Wt4
08335,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1401,488.4,0.67,-238.7,4,84,0,4.8,20.2,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Konstanz,ftLjN
08336,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1094,478.1,0.69,-213.2,2,32,1,6.2,25,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Lörrach,kFhKI
08337,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,651,380.2,0.62,-235.9,2,10,1,20,0,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Waldshut,7T4Og
08415,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1399,486.6,0.63,-282.8,3,40,1,7.5,30,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Reutlingen,wRlYE
08416,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1279,559.8,0.56,-443.8,2,91,0,2.2,5.5,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Tübingen,5x2S3
08417,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1126,593.1,0.62,-370.8,4,24,1,16.7,12.5,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Zollernalbkreis,DrkrK
08421,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,778,615.5,0.54,-522.1,8,129,2,6.2,22.5,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Ulm,rhhrw
08425,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1040,524.7,0.57,-401.1,0,14,0,0,21.4,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Alb-Donau-Kreis,sQ7Rv
08426,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1907,942.9,1.22,170.6,2,16,0,12.5,0,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Biberach,5kGl7
08435,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1019,467.6,0.79,-121.7,4,54,0,7.4,38.9,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Bodenseekreis,UCQCe
08436,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,1460,510.7,0.72,-202.2,5,56,0,8.9,21.4,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Ravensburg,YNLuT
08437,lga_bw,2022/08/01 16:00:00,2022/08/01 19:11:13,801,611.7,0.72,-237.5,1,12,0,8.3,0,08,4.92,,,,,,,,,,,,,,,,,,,,,,,,Sigmaringen,CMezI
09278,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,816,802.01,0.63,-475.7,2,10,0,20,20,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Straubing-Bogen,vePY6
09279,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,557,572.79,0.57,-426.76,0,14,0,0,14.3,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Dingolfing-Landau,zNHDy
09361,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,261,620.66,0.61,-401.88,3,37,0,8.1,27,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Amberg,MbQd7
09362,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,956,627.83,0.59,-434.1,6,202,1,3,22.3,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Regensburg (Stadt),vXH3z
09363,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,323,759.37,0.67,-376.16,9,55,5,16.4,18.2,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Weiden in der Oberpfalz,yt7RV
09371,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,592,574.77,0.58,-418.45,0,10,0,0,20,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Amberg-Sulzbach,9dVUm
09372,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,877,684.65,0.77,-202.98,1,9,0,11.1,0,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Cham,hzUU4
09373,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1001,740.25,0.62,-461.45,2,20,1,10,5,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Neumarkt in der Oberpfalz,O6Ari
09374,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,754,796.66,0.69,-352.9,,,,,,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Neustadt an derWaldnaab,0jxOe
09375,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1610,828.72,0.7,-350.53,1,10,1,10,10,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Regensburg,2VH9O
09376,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,873,587.97,0.55,-478.19,1,21,0,4.8,14.3,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Schwandorf,PIiGb
09377,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,808,1126.98,0.87,-168.77,1,14,1,7.1,21.4,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Tirschenreuth,FpP8M
09461,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,555,723.84,0.81,-165.64,1,43,0,2.3,14,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Bamberg (Stadt),nZaWp
09462,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,674,910.22,0.7,-382.18,2,42,1,4.8,7.1,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Bayreuth (Stadt),rOQL2
09463,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,381,932.86,0.82,-198.33,5,43,0,11.6,30.2,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Coburg (Stadt),Dn4S0
09464,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,433,958.54,0.61,-615.41,3,28,0,10.7,17.9,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Hof (Stadt),k8Hk5
09471,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1344,911.2,0.72,-353.23,1,16,1,6.2,31.2,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Bamberg,Hg4Ej
09472,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,940,906.64,0.63,-531.45,0,7,0,0,57.1,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Bayreuth,o4Lwq
09473,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,688,794.72,0.81,-184.82,,,,,,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Coburg,hktHc
09474,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,695,596.05,0.61,-386.79,2,12,2,16.7,16.7,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Forchheim,cfyQW
09475,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1208,1278.01,0.71,-522.63,3,17,1,17.6,23.5,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Hof,9V9fB
09476,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,466,702.28,0.62,-431.02,2,17,0,11.8,0,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Kronach,K1qm9
09477,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,849,1188.61,0.73,-446.6,2,25,1,8,8,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Kulmbach,6WsQJ
09478,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,746,1118.07,0.91,-115.4,1,39,0,2.6,5.1,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Lichtenfels,JP45l
09479,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,695,965.63,0.39,-1521.38,3,18,1,16.7,27.8,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Wunsiedelim Fichtelgebirge,T0OVK
09561,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,348,834.91,0.87,-129.56,0,23,0,0,39.1,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Ansbach (Stadt),CB1wh
09562,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,527,468.92,0.65,-248.25,9,108,6,8.3,13.9,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Erlangen,YicTe
09563,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1013,790.03,0.77,-242.55,2,42,0,4.8,16.7,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Fürth (Stadt),1tunk
09564,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,2872,557.08,0.62,-340.03,16,183,4,8.7,25.1,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Nürnberg,1RA6H
09565,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,392,954.79,0.97,-29.23,0,5,0,0,40,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Schwabach,DUZIe
09571,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1649,889.83,1.14,108.46,3,23,2,13,4.3,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Ansbach,CqRN2
09572,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,873,632.13,0.54,-527.86,0,3,0,0,66.7,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Erlangen-Höchstadt,Ga5em
09573,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1043,878.72,0.81,-208.94,,,,,,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Fürth,9JG63
09574,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1579,922.62,1.06,50.25,2,19,0,10.5,26.3,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Nürnberger Land,fl2Nr
09575,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,733,723.79,0.78,-206.37,1,31,0,3.2,25.8,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Neustadt an derAisch-Bad Windsheim,1B5Ne
09576,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1152,905.89,0.83,-186.37,0,7,0,0,0,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Roth,i5MDM
09577,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,501,526.72,0.63,-304.89,1,16,0,6.2,50,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Weißenburg-Gunzenhausen,NoPua
09661,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,566,798.78,0.88,-108.67,5,54,2,9.3,3.7,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Aschaffenburg (Stadt),7PZ39
09662,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,343,643.3,0.64,-361.97,5,60,1,8.3,23.3,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Schweinfurt (Stadt),JlgVV
09663,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1347,1061.01,0.82,-226.85,9,109,4,8.3,12.8,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Würzburg (Stadt),N9Sa9
09671,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1569,898.33,0.87,-134.55,1,9,0,11.1,22.2,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Aschaffenburg,rfL00
09672,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1094,1060.4,0.92,-91.11,1,32,0,3.1,18.8,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Bad Kissingen,pp08I
09673,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,740,930.7,0.87,-137.09,10,138,2,7.2,11.6,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Rhön-Grabfeld,qVIlM
09674,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,851,1009.79,0.73,-364.28,1,9,0,11.1,11.1,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Haßberge,huves
09675,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,998,1088.38,0.89,-140.68,0,7,0,0,28.6,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Kitzingen,LwAPb
09676,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1055,819.46,0.83,-172.44,1,8,1,12.5,25,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Miltenberg,ZRkHe
09677,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1113,883.5,1.05,46.04,2,9,1,22.2,11.1,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Main-Spessart,5QbAk
09678,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,938,811.05,0.69,-364.89,1,6,0,16.7,50,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Schweinfurt,kKd8h
09679,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1755,1078.69,0.81,-254.46,1,6,0,16.7,0,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Würzburg,u3ysP
09761,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1583,535.1,0.62,-333.3,6,129,1,4.7,10.9,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Augsburg (Stadt),Mf1Rk
09762,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,586,1312.08,1.82,591.11,3,12,0,25,8.3,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Kaufbeuren,a1cMX
09763,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,368,533.8,0.61,-342.33,4,40,0,10,12.5,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Kempten (Allgäu),xC1JO
09764,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,204,459.87,0.67,-225.43,3,31,2,9.7,0,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Memmingen,2QdRW
09771,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1152,853.18,0.91,-85.17,1,12,0,8.3,16.7,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Aichach-Friedberg,fTWQW
09772,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1594,622.9,0.69,-285.66,2,12,1,16.7,25,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Augsburg,I2r0X
09773,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,907,933.4,0.84,-172.89,1,14,0,7.1,42.9,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Dillingen an derDonau,0ShAw
09774,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1,0.79,0.01,-128,3,47,2,6.4,14.9,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Günzburg,foS8O
09775,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1246,708.67,0.78,-197.36,2,16,0,12.5,18.8,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Neu-Ulm,gBFt5
09776,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,603,734.6,0.74,-260.71,0,12,0,0,25,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Lindau (Bodensee),vlege
09777,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,1206,849.85,0.99,-5.64,3,12,1,25,25,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Ostallgäu,87tio
09778,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,812,555.54,0.74,-190.2,5,14,0,35.7,14.3,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Unterallgäu,jp7nv
09779,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,926,689.38,0.66,-361.81,1,24,0,4.2,25,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Donau-Ries,RM2X6
09780,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,702,449.11,0.57,-338.43,1,14,0,7.1,7.1,09,9.39,,,,,,,,,,,,,,,,,,,,,,,,Oberallgäu,vHyly
10,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,7633,775.72,0.73,-286.99,37,446,9,8.3,13.7,00,6.69,11.59,15.3,0.938,82.1,83.6,68.8,9,2,337,0.771,48,3,56,0.452,8,16,2862,0.856,409,6,79,0.35,11,Saarland,
10041,rki_github,2022/08/01 01:21:46,2022/08/01 19:11:13,2285,697.71,0.77,-209.77,17,163,5,10.4,16,10,11.59,,,,,,,,,,,,,,,,,,,,,,,,Regionalverband Saarbrücken,VA9hU
